transaction_id,transaction_key,customer_key,currency_key,category_key,date_key,transaction_timestamp,transaction_amount_eur,current_exchange_rate,is_high_value_transaction
89977,6,631,2,1,1,2020-01-01 00:37:00,9.4,0.09496,0
85879,21,58,1,1,1,2020-01-01 01:33:00,48.91,1.0,0
35994,29,721,1,1,1,2020-01-01 02:15:00,60.65,1.0,0
25967,31,9,1,1,1,2020-01-01 02:18:00,78.46,1.0,0
61932,32,489,1,1,1,2020-01-01 02:20:00,87.92,1.0,0
19803,33,813,1,1,1,2020-01-01 02:26:00,-10.63,1.0,0
117151,38,515,1,1,1,2020-01-01 02:53:00,125.51,1.0,0
50054,40,593,3,1,1,2020-01-01 03:02:00,12.55,0.08787,0
3350,41,257,1,2,1,2020-01-01 03:06:00,126.26,1.0,0
30712,47,431,1,3,1,2020-01-01 03:39:00,62.48,1.0,0
69883,64,14,1,2,1,2020-01-01 05:01:00,96.1,1.0,0
24950,65,43,1,2,1,2020-01-01 05:06:00,68.45,1.0,0
5530,72,549,3,3,1,2020-01-01 05:41:00,8.48,0.08787,0
73795,79,43,1,2,1,2020-01-01 06:29:00,89.02,1.0,0
105814,80,856,1,1,1,2020-01-01 06:29:00,131.05,1.0,0
56472,85,987,1,2,1,2020-01-01 06:44:00,109.68,1.0,0
38278,97,516,1,2,1,2020-01-01 07:25:00,129.15,1.0,0
103228,101,42,1,2,1,2020-01-01 07:29:00,85.99,1.0,0
25939,107,702,1,3,1,2020-01-01 07:50:00,208.19,1.0,0
58964,108,501,3,3,1,2020-01-01 07:53:00,6.25,0.08787,0
48271,110,134,3,1,1,2020-01-01 08:03:00,5.67,0.08787,0
92576,115,36,1,2,1,2020-01-01 08:15:00,145.86,1.0,0
55269,122,956,1,3,1,2020-01-01 08:41:00,45.72,1.0,0
36523,127,602,3,2,1,2020-01-01 09:05:00,11.06,0.08787,0
70950,132,129,3,3,1,2020-01-01 09:22:00,4.91,0.08787,0
112641,134,948,1,2,1,2020-01-01 09:44:00,129.58,1.0,0
21786,140,241,3,1,1,2020-01-01 10:17:00,5.79,0.08787,0
114676,142,601,1,2,1,2020-01-01 10:31:00,72.75,1.0,0
79649,143,669,1,1,1,2020-01-01 10:51:00,159.03,1.0,0
14194,150,49,1,1,1,2020-01-01 11:17:00,84.31,1.0,0
6066,158,197,1,2,1,2020-01-01 12:05:00,55.59,1.0,0
108108,162,263,1,2,1,2020-01-01 12:17:00,126.68,1.0,0
77337,163,705,1,3,1,2020-01-01 12:19:00,100.67,1.0,0
93643,166,371,3,3,1,2020-01-01 12:20:00,3.2,0.08787,0
11967,167,938,2,2,1,2020-01-01 12:21:00,7.87,0.09496,0
36892,169,484,3,2,1,2020-01-01 12:26:00,5.9,0.08787,0
101405,182,770,1,2,1,2020-01-01 13:21:00,126.49,1.0,0
47876,186,38,1,2,1,2020-01-01 13:49:00,143.23,1.0,0
86225,187,422,1,1,1,2020-01-01 13:58:00,93.25,1.0,0
112563,192,324,2,2,1,2020-01-01 14:11:00,4.88,0.09496,0
68810,195,368,1,1,1,2020-01-01 14:25:00,95.94,1.0,0
97715,197,75,1,3,1,2020-01-01 14:45:00,94.08,1.0,0
75607,211,999,2,3,1,2020-01-01 15:28:00,15.31,0.09496,0
30852,217,948,2,2,1,2020-01-01 16:02:00,10.87,0.09496,0
118563,222,939,2,3,1,2020-01-01 16:20:00,9.47,0.09496,0
105707,231,163,2,1,1,2020-01-01 16:47:00,11.86,0.09496,0
83502,232,31,1,3,1,2020-01-01 16:47:00,55.86,1.0,0
56208,234,506,3,2,1,2020-01-01 16:51:00,3.57,0.08787,0
105855,238,384,2,1,1,2020-01-01 17:06:00,15.72,0.09496,0
19518,239,187,2,1,1,2020-01-01 17:10:00,6.98,0.09496,0
68270,243,363,1,1,1,2020-01-01 17:22:00,81.76,1.0,0
113139,246,1008,2,2,1,2020-01-01 17:32:00,8.06,0.09496,0
68578,260,524,1,2,1,2020-01-01 18:44:00,106.68,1.0,0
69845,267,872,1,2,1,2020-01-01 18:53:00,123.1,1.0,0
89239,273,188,1,2,1,2020-01-01 19:43:00,124.14,1.0,0
36266,275,448,1,2,1,2020-01-01 19:45:00,59.6,1.0,0
110603,284,536,2,3,1,2020-01-01 20:16:00,13.17,0.09496,0
115663,285,788,1,3,1,2020-01-01 20:17:00,14.44,1.0,0
22763,292,523,2,2,1,2020-01-01 20:41:00,14.7,0.09496,0
62722,301,644,1,1,1,2020-01-01 21:10:00,81.38,1.0,0
13096,302,2,2,2,1,2020-01-01 21:19:00,9.88,0.09496,0
22360,318,289,1,1,1,2020-01-01 22:22:00,60.07,1.0,0
13136,327,482,1,2,1,2020-01-01 23:00:00,137.0,1.0,0
36973,332,416,3,2,1,2020-01-01 23:15:00,6.28,0.08787,0
31501,333,290,3,1,1,2020-01-01 23:19:00,9.53,0.08787,0
58886,336,829,1,1,1,2020-01-01 23:26:00,133.69,1.0,0
55179,342,81,2,1,1,2020-01-01 23:49:00,10.33,0.09496,0
34417,352,624,1,3,2,2020-01-02 00:38:00,84.81,1.0,0
98014,354,548,1,2,2,2020-01-02 00:50:00,68.33,1.0,0
107747,357,322,1,3,2,2020-01-02 01:09:00,137.81,1.0,0
106921,360,3,3,1,2,2020-01-02 01:24:00,6.51,0.08787,0
103708,362,908,3,3,2,2020-01-02 01:28:00,6.19,0.08787,0
105519,363,607,2,3,2,2020-01-02 01:30:00,3.13,0.09496,0
115791,365,188,1,3,2,2020-01-02 01:35:00,144.9,1.0,0
4122,369,901,2,2,2,2020-01-02 01:54:00,8.47,0.09496,0
54430,372,456,3,1,2,2020-01-02 02:07:00,10.51,0.08787,0
85952,373,872,1,3,2,2020-01-02 02:07:00,142.69,1.0,0
93833,380,248,1,2,2,2020-01-02 02:36:00,106.59,1.0,0
66877,383,458,1,1,2,2020-01-02 02:39:00,46.9,1.0,0
107651,384,338,2,3,2,2020-01-02 02:46:00,0.87,0.09496,0
99281,389,618,3,2,2,2020-01-02 03:18:00,7.5,0.08787,0
55913,390,67,2,2,2,2020-01-02 03:25:00,13.0,0.09496,0
82244,392,175,1,3,2,2020-01-02 03:26:00,138.5,1.0,0
12512,397,625,2,1,2,2020-01-02 03:44:00,12.84,0.09496,0
72960,399,78,1,3,2,2020-01-02 03:45:00,98.17,1.0,0
44856,407,658,1,3,2,2020-01-02 04:41:00,74.03,1.0,0
106618,410,890,1,2,2,2020-01-02 04:48:00,148.05,1.0,0
103086,411,122,1,2,2,2020-01-02 04:50:00,163.68,1.0,0
53363,418,949,3,3,2,2020-01-02 05:16:00,13.78,0.08787,0
83758,424,788,1,2,2,2020-01-02 05:31:00,137.6,1.0,0
64546,425,283,1,1,2,2020-01-02 05:36:00,134.8,1.0,0
55393,435,171,1,1,2,2020-01-02 06:21:00,54.23,1.0,0
14980,440,559,1,1,2,2020-01-02 06:44:00,46.09,1.0,0
25945,444,554,1,1,2,2020-01-02 06:56:00,4.59,1.0,0
89908,445,171,2,3,2,2020-01-02 06:56:00,6.51,0.09496,0
42988,456,15,1,2,2,2020-01-02 07:44:00,54.72,1.0,0
71594,470,886,2,1,2,2020-01-02 08:43:00,0.44,0.09496,0
56304,474,786,1,3,2,2020-01-02 09:00:00,116.56,1.0,0
84499,477,98,3,1,2,2020-01-02 09:06:00,4.57,0.08787,0
73022,505,657,2,1,2,2020-01-02 11:03:00,8.89,0.09496,0
84725,507,248,2,3,2,2020-01-02 11:11:00,16.41,0.09496,0
115477,514,910,1,3,2,2020-01-02 11:31:00,57.06,1.0,0
80431,517,280,1,1,2,2020-01-02 11:45:00,142.59,1.0,0
10900,520,837,2,3,2,2020-01-02 11:55:00,11.49,0.09496,0
110656,532,107,3,3,2,2020-01-02 13:10:00,-0.64,0.08787,0
67704,533,467,1,2,2,2020-01-02 13:17:00,94.8,1.0,0
63800,545,692,1,1,2,2020-01-02 14:24:00,149.84,1.0,0
9426,549,148,1,2,2,2020-01-02 14:35:00,155.23,1.0,0
6681,556,623,1,2,2,2020-01-02 15:02:00,54.12,1.0,0
98486,559,857,1,3,2,2020-01-02 15:12:00,71.74,1.0,0
4738,562,205,1,3,2,2020-01-02 15:21:00,99.25,1.0,0
18751,578,953,2,1,2,2020-01-02 16:13:00,8.71,0.09496,0
8941,582,740,1,3,2,2020-01-02 16:35:00,133.57,1.0,0
8567,584,285,1,3,2,2020-01-02 16:41:00,99.07,1.0,0
110433,586,903,1,2,2,2020-01-02 16:47:00,142.08,1.0,0
99268,587,366,2,2,2,2020-01-02 16:48:00,9.35,0.09496,0
101368,589,502,1,1,2,2020-01-02 16:55:00,112.28,1.0,0
68145,590,144,1,1,2,2020-01-02 16:55:00,138.18,1.0,0
60624,593,613,1,2,2,2020-01-02 17:00:00,100.44,1.0,0
55102,599,287,3,2,2,2020-01-02 17:36:00,5.38,0.08787,0
113567,605,776,1,1,2,2020-01-02 18:01:00,136.56,1.0,0
88482,606,467,3,3,2,2020-01-02 18:04:00,6.01,0.08787,0
86393,608,699,1,3,2,2020-01-02 18:07:00,115.83,1.0,0
33811,612,132,1,2,2,2020-01-02 18:26:00,99.09,1.0,0
1657,616,94,1,3,2,2020-01-02 18:46:00,82.42,1.0,0
71219,620,935,1,3,2,2020-01-02 19:08:00,65.27,1.0,0
72374,640,179,1,1,2,2020-01-02 20:37:00,55.38,1.0,0
11215,641,299,3,3,2,2020-01-02 20:39:00,10.09,0.08787,0
57327,645,1,3,3,2,2020-01-02 20:53:00,12.46,0.08787,0
51250,646,134,3,2,2,2020-01-02 20:56:00,7.96,0.08787,0
38932,653,78,2,1,2,2020-01-02 21:12:00,6.35,0.09496,0
30600,657,588,3,3,2,2020-01-02 21:26:00,0.28,0.08787,0
27496,664,546,3,1,2,2020-01-02 21:57:00,8.17,0.08787,0
99177,670,398,2,2,2,2020-01-02 22:34:00,7.68,0.09496,0
66739,671,1030,2,1,2,2020-01-02 22:46:00,3.28,0.09496,0
27054,673,442,1,3,2,2020-01-02 22:59:00,39.49,1.0,0
98760,679,525,1,3,2,2020-01-02 23:19:00,102.98,1.0,0
32321,680,815,2,2,2,2020-01-02 23:24:00,2.61,0.09496,0
89548,686,188,3,1,2,2020-01-02 23:57:00,8.73,0.08787,0
119176,688,689,1,1,3,2020-01-03 00:03:00,84.3,1.0,0
53115,689,746,1,3,3,2020-01-03 00:07:00,115.1,1.0,0
97279,690,260,3,3,3,2020-01-03 00:27:00,5.93,0.08787,0
52820,693,339,1,3,3,2020-01-03 00:36:00,78.75,1.0,0
95491,699,802,1,1,3,2020-01-03 01:16:00,9.49,1.0,0
104924,707,71,3,2,3,2020-01-03 01:54:00,5.28,0.08787,0
33972,718,277,1,3,3,2020-01-03 02:49:00,177.57,1.0,0
4180,724,27,1,2,3,2020-01-03 03:00:00,100.57,1.0,0
113066,727,966,1,3,3,2020-01-03 03:14:00,33.33,1.0,0
98554,734,162,1,2,3,2020-01-03 03:43:00,130.53,1.0,0
46747,742,182,1,1,3,2020-01-03 04:09:00,86.64,1.0,0
92500,744,807,1,1,3,2020-01-03 04:22:00,97.06,1.0,0
89962,745,546,2,2,3,2020-01-03 04:24:00,15.23,0.09496,0
101656,748,422,1,2,3,2020-01-03 04:30:00,105.51,1.0,0
39045,753,180,1,3,3,2020-01-03 04:44:00,124.82,1.0,0
16748,757,395,1,1,3,2020-01-03 05:00:00,63.74,1.0,0
92845,758,93,3,3,3,2020-01-03 05:05:00,10.79,0.08787,0
99781,766,266,1,3,3,2020-01-03 05:56:00,150.41,1.0,0
100621,773,522,3,2,3,2020-01-03 06:13:00,10.96,0.08787,0
48654,778,266,3,3,3,2020-01-03 06:46:00,10.44,0.08787,0
18368,782,1003,2,3,3,2020-01-03 06:58:00,5.0,0.09496,0
78567,785,351,1,2,3,2020-01-03 07:03:00,90.62,1.0,0
36510,786,914,1,1,3,2020-01-03 07:03:00,113.02,1.0,0
83288,789,510,1,3,3,2020-01-03 07:10:00,85.46,1.0,0
20240,791,252,1,2,3,2020-01-03 07:14:00,119.53,1.0,0
118762,798,667,1,3,3,2020-01-03 07:43:00,109.55,1.0,0
23067,803,345,1,1,3,2020-01-03 07:57:00,75.85,1.0,0
41738,804,918,3,1,3,2020-01-03 07:58:00,8.56,0.08787,0
12457,808,355,2,2,3,2020-01-03 08:23:00,12.83,0.09496,0
49146,812,667,1,1,3,2020-01-03 08:33:00,91.65,1.0,0
102714,813,281,1,3,3,2020-01-03 08:36:00,103.06,1.0,0
43729,826,561,1,1,3,2020-01-03 09:42:00,139.74,1.0,0
114298,830,993,3,1,3,2020-01-03 09:58:00,12.68,0.08787,0
25680,831,450,2,3,3,2020-01-03 09:58:00,9.32,0.09496,0
119191,838,820,1,2,3,2020-01-03 10:19:00,137.33,1.0,0
1305,842,371,2,2,3,2020-01-03 10:35:00,11.49,0.09496,0
66113,851,442,1,3,3,2020-01-03 11:04:00,170.19,1.0,0
63378,852,229,1,1,3,2020-01-03 11:06:00,108.8,1.0,0
104226,868,379,2,1,3,2020-01-03 12:29:00,16.48,0.09496,0
117589,879,270,1,1,3,2020-01-03 13:30:00,92.74,1.0,0
71394,885,550,3,3,3,2020-01-03 13:48:00,8.43,0.08787,0
34649,887,618,3,2,3,2020-01-03 13:50:00,8.2,0.08787,0
82738,893,679,3,3,3,2020-01-03 14:02:00,9.07,0.08787,0
21224,900,995,2,3,3,2020-01-03 14:29:00,7.3,0.09496,0
108680,901,819,2,3,3,2020-01-03 14:30:00,10.12,0.09496,0
98367,903,579,1,1,3,2020-01-03 14:56:00,136.76,1.0,0
12894,905,455,1,3,3,2020-01-03 15:02:00,65.06,1.0,0
40639,906,493,3,3,3,2020-01-03 15:04:00,4.3,0.08787,0
108837,908,890,1,1,3,2020-01-03 15:08:00,115.43,1.0,0
110368,911,147,3,3,3,2020-01-03 15:11:00,5.57,0.08787,0
61434,912,976,1,3,3,2020-01-03 15:12:00,107.05,1.0,0
113569,922,759,2,2,3,2020-01-03 15:37:00,5.53,0.09496,0
92771,926,32,1,1,3,2020-01-03 15:41:00,127.09,1.0,0
10026,932,677,1,3,3,2020-01-03 16:24:00,101.9,1.0,0
114802,933,433,1,1,3,2020-01-03 16:25:00,129.51,1.0,0
54701,935,534,1,1,3,2020-01-03 16:42:00,96.73,1.0,0
73475,936,378,3,2,3,2020-01-03 16:44:00,6.23,0.08787,0
102347,937,656,1,2,3,2020-01-03 16:49:00,89.45,1.0,0
19017,939,535,3,3,3,2020-01-03 16:53:00,12.12,0.08787,0
58232,942,650,3,3,3,2020-01-03 17:15:00,5.93,0.08787,0
64841,943,320,1,1,3,2020-01-03 17:17:00,109.3,1.0,0
118962,945,1034,1,3,3,2020-01-03 17:23:00,104.15,1.0,0
79079,951,974,2,3,3,2020-01-03 17:54:00,11.81,0.09496,0
109515,954,621,3,1,3,2020-01-03 18:11:00,5.38,0.08787,0
97959,956,93,3,1,3,2020-01-03 18:18:00,4.88,0.08787,0
3486,973,466,1,1,3,2020-01-03 19:36:00,115.15,1.0,0
25516,1011,389,2,2,3,2020-01-03 21:44:00,7.98,0.09496,0
96134,1014,568,2,2,3,2020-01-03 21:55:00,10.8,0.09496,0
37305,1034,668,2,2,3,2020-01-03 23:44:00,-1.79,0.09496,0
66843,1036,140,2,3,3,2020-01-03 23:50:00,8.24,0.09496,0
18976,1037,667,3,1,3,2020-01-03 23:58:00,9.09,0.08787,0
119659,1046,673,1,1,4,2020-01-04 00:20:00,56.88,1.0,0
55971,1047,521,3,3,4,2020-01-04 00:25:00,12.77,0.08787,0
17144,1051,423,2,1,4,2020-01-04 00:47:00,2.27,0.09496,0
93575,1058,51,1,3,4,2020-01-04 01:13:00,61.04,1.0,0
87554,1061,588,1,1,4,2020-01-04 01:20:00,148.5,1.0,0
24684,1062,901,1,2,4,2020-01-04 01:21:00,81.62,1.0,0
62064,1079,542,1,3,4,2020-01-04 02:09:00,66.88,1.0,0
78291,1090,684,1,3,4,2020-01-04 02:49:00,117.44,1.0,0
77254,1092,403,1,3,4,2020-01-04 02:57:00,98.58,1.0,0
92146,1094,694,1,2,4,2020-01-04 03:15:00,92.71,1.0,0
18188,1096,989,2,3,4,2020-01-04 03:25:00,12.42,0.09496,0
25477,1108,398,1,3,4,2020-01-04 04:08:00,129.81,1.0,0
112458,1112,481,2,1,4,2020-01-04 04:19:00,9.03,0.09496,0
54269,1114,535,1,3,4,2020-01-04 04:28:00,99.54,1.0,0
36018,1119,1013,2,3,4,2020-01-04 04:48:00,12.01,0.09496,0
87470,1121,866,3,2,4,2020-01-04 04:57:00,14.93,0.08787,0
115337,1131,927,1,1,4,2020-01-04 05:53:00,69.79,1.0,0
116506,1135,886,2,3,4,2020-01-04 06:05:00,6.16,0.09496,0
73115,1137,283,2,3,4,2020-01-04 06:07:00,16.64,0.09496,0
86898,1143,497,3,3,4,2020-01-04 06:38:00,9.3,0.08787,0
36959,1149,570,3,3,4,2020-01-04 06:42:00,9.43,0.08787,0
86552,1150,610,1,1,4,2020-01-04 06:44:00,110.26,1.0,0
71718,1160,753,2,2,4,2020-01-04 07:35:00,14.49,0.09496,0
39546,1163,427,1,1,4,2020-01-04 07:50:00,91.83,1.0,0
24985,1166,789,1,3,4,2020-01-04 08:08:00,139.89,1.0,0
